Date,Product,Branch,Price,Quantity,Total_Sales,Profit
2025-04-14,Smartphone,Alexandria,1217,1,1217,365.09999999999997
2025-11-12,Monitor,Alexandria,1339,2,2678,803.4
2025-05-27,Monitor,Mansoura,847,2,1694,508.2
2025-08-15,Monitor,Mansoura,1086,5,5430,1629.0
2025-08-28,Monitor,Cairo,153,3,459,137.7
2025-08-21,Headphones,Mansoura,307,1,307,92.1
2025-12-11,Headphones,Cairo,800,4,3200,960.0
2025-03-17,Monitor,Alexandria,1322,2,2644,793.1999999999999
2025-09-29,Monitor,Cairo,349,4,1396,418.8
2025-01-10,Smartphone,Cairo,1439,5,7195,2158.5
2025-07-21,Smartphone,Cairo,1410,1,1410,423.0
2025-01-12,Tablet,Mansoura,324,4,1296,388.8
2025-03-19,Monitor,Mansoura,1337,4,5348,1604.3999999999999
2025-02-06,Smartphone,Mansoura,1316,4,5264,1579.2
2025-03-26,Monitor,Mansoura,287,4,1148,344.4
2025-07-29,Monitor,Cairo,467,3,1401,420.3
2025-05-20,Monitor,Mansoura,880,1,880,264.0
2025-10-02,Headphones,Alexandria,1150,4,4600,1380.0
2025-01-17,Headphones,Alexandria,992,1,992,297.59999999999997
2025-09-15,Smartphone,Mansoura,1281,3,3843,1152.8999999999999
2025-09-30,Tablet,Mansoura,717,1,717,215.1
2025-04-12,Tablet,Cairo,823,2,1646,493.79999999999995
2025-11-17,Tablet,Alexandria,655,2,1310,393.0
2025-07-05,Laptop,Cairo,1357,4,5428,1628.3999999999999
2026-01-01,Tablet,Mansoura,1450,4,5800,1740.0
2025-12-25,Smartphone,Mansoura,535,1,535,160.5
2025-11-15,Headphones,Alexandria,1316,2,2632,789.6
2025-01-15,Headphones,Mansoura,1429,3,4287,1286.1
2025-10-12,Headphones,Mansoura,1381,3,4143,1242.8999999999999
2025-07-18,Smartphone,Mansoura,476,3,1428,428.4
2025-08-28,Smartphone,Mansoura,505,2,1010,303.0
2025-02-25,Smartphone,Alexandria,827,5,4135,1240.5
2025-01-14,Monitor,Mansoura,1235,2,2470,741.0
2025-09-18,Laptop,Cairo,807,1,807,242.1
2025-02-26,Monitor,Alexandria,1080,1,1080,324.0
2025-12-05,Smartphone,Mansoura,1123,1,1123,336.9
2025-08-25,Monitor,Mansoura,396,4,1584,475.2
2025-07-15,Headphones,Mansoura,884,1,884,265.2
2025-11-28,Laptop,Cairo,1423,1,1423,426.9
2025-02-22,Monitor,Cairo,970,4,3880,1164.0
2025-12-21,Smartphone,Mansoura,223,5,1115,334.5
2025-09-01,Smartphone,Mansoura,244,5,1220,366.0
2025-08-21,Headphones,Cairo,1148,3,3444,1033.2
2025-05-14,Headphones,Cairo,426,3,1278,383.4
2025-07-19,Tablet,Cairo,947,2,1894,568.1999999999999
2025-12-08,Monitor,Mansoura,1117,4,4468,1340.3999999999999
2025-02-08,Smartphone,Cairo,977,5,4885,1465.5
2025-02-05,Headphones,Alexandria,799,1,799,239.7
2025-06-30,Smartphone,Cairo,1461,4,5844,1753.2
2025-12-04,Smartphone,Cairo,1356,4,5424,1627.2
2025-12-04,Monitor,Cairo,1289,1,1289,386.7
2025-02-28,Tablet,Alexandria,1144,5,5720,1716.0
2025-08-29,Monitor,Cairo,873,3,2619,785.6999999999999
2025-11-18,Smartphone,Cairo,1393,5,6965,2089.5
2025-11-29,Monitor,Mansoura,568,1,568,170.4
2025-06-13,Headphones,Alexandria,1313,3,3939,1181.7
2025-09-30,Smartphone,Mansoura,675,2,1350,405.0
2025-12-05,Headphones,Cairo,1104,2,2208,662.4
2025-02-14,Tablet,Cairo,1391,2,2782,834.6
2025-07-03,Laptop,Cairo,897,2,1794,538.1999999999999
2025-08-07,Monitor,Mansoura,846,1,846,253.79999999999998
2025-06-16,Monitor,Alexandria,1288,4,5152,1545.6
2025-07-28,Monitor,Cairo,856,4,3424,1027.2
2025-12-12,Headphones,Mansoura,800,3,2400,720.0
2025-02-25,Smartphone,Cairo,918,2,1836,550.8
2025-04-05,Headphones,Cairo,294,4,1176,352.8
2025-11-22,Monitor,Alexandria,1142,5,5710,1713.0
2025-05-13,Tablet,Cairo,1493,4,5972,1791.6
2025-04-15,Tablet,Alexandria,1314,5,6570,1971.0
2025-07-16,Tablet,Mansoura,732,3,2196,658.8
2025-07-23,Monitor,Cairo,137,3,411,123.3
2025-07-14,Tablet,Alexandria,1177,2,2354,706.1999999999999
2025-09-19,Tablet,Cairo,1362,2,2724,817.1999999999999
2025-05-07,Laptop,Cairo,872,5,4360,1308.0
2025-06-25,Smartphone,Cairo,189,5,945,283.5
2025-06-19,Tablet,Mansoura,818,1,818,245.39999999999998
2025-02-23,Smartphone,Alexandria,1114,1,1114,334.2
2025-09-20,Laptop,Mansoura,613,3,1839,551.6999999999999
2025-01-30,Smartphone,Alexandria,205,3,615,184.5
2025-10-22,Monitor,Alexandria,474,5,2370,711.0
2025-12-14,Smartphone,Cairo,435,2,870,261.0
2025-11-11,Smartphone,Cairo,284,4,1136,340.8
2025-07-08,Tablet,Cairo,1202,4,4808,1442.3999999999999
2025-08-30,Monitor,Cairo,662,2,1324,397.2
2025-01-24,Laptop,Cairo,555,4,2220,666.0
2025-12-06,Tablet,Mansoura,112,3,336,100.8
2025-02-10,Laptop,Cairo,213,4,852,255.6
2025-08-14,Headphones,Alexandria,748,1,748,224.4
2025-01-14,Smartphone,Mansoura,764,1,764,229.2
2025-11-27,Headphones,Mansoura,934,4,3736,1120.8
2025-10-23,Monitor,Cairo,364,3,1092,327.59999999999997
2025-02-18,Laptop,Cairo,1009,1,1009,302.7
2025-11-07,Headphones,Cairo,541,5,2705,811.5
2025-12-09,Tablet,Cairo,1236,3,3708,1112.3999999999999
2025-10-18,Laptop,Alexandria,859,1,859,257.7
2025-03-15,Laptop,Mansoura,1348,2,2696,808.8
2025-09-10,Laptop,Mansoura,299,4,1196,358.8
2025-02-24,Smartphone,Mansoura,642,1,642,192.6
2025-05-14,Laptop,Mansoura,361,1,361,108.3
2025-07-13,Headphones,Alexandria,447,4,1788,536.4
2025-09-29,Smartphone,Alexandria,117,2,234,70.2
2025-03-14,Smartphone,Mansoura,1331,1,1331,399.3
2025-08-19,Headphones,Cairo,1105,2,2210,663.0
2025-06-24,Laptop,Cairo,1088,2,2176,652.8
2025-12-04,Headphones,Cairo,117,1,117,35.1
2025-01-18,Monitor,Mansoura,494,2,988,296.4
2025-08-30,Laptop,Cairo,1154,4,4616,1384.8
2025-07-01,Monitor,Alexandria,495,1,495,148.5
2025-02-11,Smartphone,Mansoura,283,4,1132,339.59999999999997
2025-04-20,Smartphone,Cairo,408,1,408,122.39999999999999
2025-09-30,Headphones,Cairo,1162,3,3486,1045.8
2025-09-23,Headphones,Mansoura,931,4,3724,1117.2
2025-08-24,Tablet,Cairo,591,5,2955,886.5
2025-08-17,Headphones,Alexandria,388,5,1940,582.0
2025-02-25,Tablet,Alexandria,718,1,718,215.4
2025-05-14,Headphones,Cairo,1096,2,2192,657.6
2025-01-01,Tablet,Cairo,1243,1,1243,372.9
2025-04-08,Laptop,Alexandria,1067,1,1067,320.09999999999997
2025-09-12,Smartphone,Mansoura,570,2,1140,342.0
2025-12-23,Tablet,Alexandria,1176,4,4704,1411.2
2025-11-30,Headphones,Mansoura,539,3,1617,485.09999999999997
2025-12-06,Tablet,Cairo,686,5,3430,1029.0
2025-06-03,Tablet,Cairo,335,4,1340,402.0
2025-11-06,Monitor,Cairo,991,3,2973,891.9
2025-10-07,Smartphone,Alexandria,487,3,1461,438.3
2025-11-15,Headphones,Alexandria,115,2,230,69.0
2025-05-25,Smartphone,Mansoura,1471,4,5884,1765.2
2025-05-29,Tablet,Cairo,1212,4,4848,1454.3999999999999
2025-10-01,Tablet,Alexandria,1263,1,1263,378.9
2025-08-09,Laptop,Alexandria,1302,1,1302,390.59999999999997
2025-09-15,Monitor,Alexandria,968,2,1936,580.8
2025-09-23,Laptop,Cairo,1328,5,6640,1992.0
2025-08-05,Monitor,Mansoura,1090,3,3270,981.0
2025-02-19,Headphones,Cairo,552,2,1104,331.2
2025-08-26,Laptop,Alexandria,1014,3,3042,912.6
2025-10-18,Laptop,Mansoura,386,4,1544,463.2
2025-10-22,Tablet,Alexandria,622,3,1866,559.8
2025-03-03,Laptop,Cairo,373,2,746,223.79999999999998
2025-09-24,Monitor,Mansoura,757,1,757,227.1
2025-03-26,Smartphone,Cairo,792,5,3960,1188.0
2025-01-29,Smartphone,Alexandria,1315,2,2630,789.0
2025-03-16,Laptop,Mansoura,1399,2,2798,839.4
2025-08-11,Smartphone,Alexandria,1480,3,4440,1332.0
2025-01-03,Tablet,Cairo,402,1,402,120.6
2025-02-07,Tablet,Mansoura,1040,1,1040,312.0
2025-07-16,Smartphone,Alexandria,1022,3,3066,919.8
2025-08-22,Monitor,Alexandria,741,4,2964,889.1999999999999
2025-03-05,Headphones,Cairo,1274,1,1274,382.2
2025-12-21,Monitor,Cairo,1393,1,1393,417.9
2025-07-17,Smartphone,Cairo,1021,1,1021,306.3
2025-12-18,Monitor,Alexandria,1187,1,1187,356.09999999999997
2025-11-27,Smartphone,Mansoura,1212,4,4848,1454.3999999999999
2025-07-13,Monitor,Alexandria,230,1,230,69.0
2025-11-15,Smartphone,Mansoura,1178,3,3534,1060.2
2025-03-30,Laptop,Mansoura,285,3,855,256.5
2025-10-20,Monitor,Alexandria,195,4,780,234.0
2025-09-08,Headphones,Alexandria,1083,2,2166,649.8
2025-04-08,Tablet,Cairo,1098,5,5490,1647.0
2025-05-10,Monitor,Mansoura,158,3,474,142.2
2025-08-31,Monitor,Cairo,678,4,2712,813.6
2025-04-13,Headphones,Mansoura,1067,4,4268,1280.3999999999999
2025-08-04,Smartphone,Cairo,1362,2,2724,817.1999999999999
2025-06-06,Monitor,Alexandria,1081,4,4324,1297.2
2025-10-31,Headphones,Alexandria,1215,4,4860,1458.0
2025-06-13,Headphones,Alexandria,733,2,1466,439.8
2025-04-15,Tablet,Mansoura,1376,1,1376,412.8
2025-12-05,Smartphone,Cairo,124,5,620,186.0
2025-05-28,Smartphone,Mansoura,1384,4,5536,1660.8
2025-01-26,Smartphone,Cairo,156,4,624,187.2
2025-06-16,Monitor,Mansoura,119,5,595,178.5
2025-07-16,Tablet,Alexandria,314,5,1570,471.0
2025-03-22,Headphones,Mansoura,1246,2,2492,747.6
